주소,현재 유동성($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수,생성일
D1VRgaZvJEpZtT87GkvNrDhPBoyEQb4pAdRPVdeqpump,353628.26,28898.58,12.24,3870436.72,17,Unknown
6D5CncL52Y5b1vskD1W8nNWQVsMDXQx6ZxXiDvpypump,35927.98,29165.62,1.23,97872.73,8,Unknown
HPCRpDqMxfaJbbpQVx2VJQvL3gLa8XugECudbYpApump,69942.17,29141.92,2.40,335416.26,7,Unknown
9THrfQcUjthh5dCKrFv5bK2xCS5uSV2KeuCtGiGFXCuS,173218.26,90905.11,1.91,473391.90,7,Unknown
VvAdnU76fYkLfnTg28R4HGFvGhQx13oqc4AUxqxpump,14577.15,29051.85,0.50,15690.97,6,Unknown
5XpipgSxnemH9UnqfqWswSn3WGM61vLnX8ZqhVV5pump,14903.28,29067.65,0.51,17504.32,5,Unknown
5RJLBebEzoBkBLNmceWKyDwz64uyH3oug36QauiVpump,12368.43,29010.77,0.43,11256.52,5,Unknown
7H7Au1DETfVTd1eMRY96m6R4J65ZFTGZAVZvmmiRpump,11943.38,28960.20,0.41,10436.85,5,Unknown
HwAY1A7TAKF44wu13CREp5wbB7AjSshsnS4RyrsCpump,7479.59,28938.08,0.26,4523.54,5,Unknown
GW8q17MJy84KBR4PWA4BdUiGSTEtmxHeUXmYX3SNX7W8,9523.89,29058.17,0.33,7150.71,5,Unknown
GEz1Lghy84Pi7VNLxf65L5rfunFuS2Uu7AeR5oympump,27038.54,28838.54,0.94,54816.08,5,Unknown
7qa4Qxoa3JFY7S1CZMp3Ma3Du9jPUTSuSzk81ojWpump,112601.29,29036.05,3.88,718473.30,4,Unknown
4tKhh6rLNAmxeNvqQgSTzFTpN82s3zm3DZQFqnpBpump,7287.33,28797.45,0.25,4061.30,4,Unknown
HiwAowbNmgfe4VWvs3zos3Ve1MgwSBbANNyDVynTpump,27238.35,29164.04,0.93,56397.07,3,Unknown
HmnLvAHBfmTXtAWcN2YpzH9eNX61MfAFaX7mc8JYpump,20935.30,29149.82,0.72,36059.54,3,Unknown
4MNouD6XpG46ALDcLUdKhxGHCeVG5XQjAAKJgKPWpump,7793.58,29124.54,0.27,4657.37,3,Unknown
8qWGt21SpPBG79wsUJXYv6d7fN9vu9Q8EpBBZAAtpump,10796.49,29039.21,0.37,8681.14,3,Unknown
7ojGJLkYv1znP93t7fQMj9KdFr8JzYWSJggWyD5Bpump,12885.11,29034.47,0.44,12739.68,3,Unknown
214gAizhguaFUx1rRwffyXUf1v8NiRSj8LwDzPqjpump,8369.46,28987.07,0.29,5578.15,3,Unknown
27AHaDHUfFznTHNviEx6YV2zikgrZRvoMyssTHvMHPsx,55976.66,29039.21,1.93,246066.73,3,Unknown
7VY4PHcBQk7gqcjpvvF4fq5HUUTCbAxzmXDJBGgo6dvF,20886.35,28977.59,0.72,32997.19,3,Unknown
5CdNe5hU5jiuGzRDSy38kUC72fhNXx3qRk65QmPiSPWq,63140.39,29179.84,2.16,320669.97,2,Unknown
Hxs1BP1msyXz3AGAfn8JJ7CBxxqjnpWDWXUdBu9Upump,10909.83,29130.86,0.37,9737.01,2,Unknown
BG35JAAX8n3v92HaU4h3tmJayuS5D7LqVmkbv4zBpump,9876.94,29118.22,0.34,7736.76,2,Unknown
FhjfSRFDsj2RoPGZDPzWqz3nZVfdm9ebMGsCTm5hpump,7317.89,29149.82,0.25,4270.44,2,Unknown
5n4NVvJP1gZAqRjeMuhCAz1RN2J6PNPEPMmnXkhGpump,6967.25,29100.83,0.24,3899.19,2,Unknown
Ejzawg4j5rEsG3NmDM3cnEdEf1iDBfGJxB8WcALGpump,27392.35,29050.27,0.94,60359.64,2,Unknown
3kV7ZfJeeQmuU59t1xHSicJ2P997S7d1udt9BehPpump,14976.42,29075.55,0.52,16912.38,2,Unknown
7EDrwkCZMvYF2jhjTRa4W7pjUvyns1hCsvj1DoAypump,11657.30,28996.55,0.40,11013.23,2,Unknown
EUPA6qdU1f2neLvFJ6AWPAcoUQBY7dSpnpmUiePrpump,7431.00,28985.49,0.26,4484.63,2,Unknown
FA6oGd6oJBnm7iCMqgFrNfQSoUkjVp39qVJqr6dyr1Qw,16854.15,29081.87,0.58,22686.75,2,Unknown
72UGDUesigmjutFhkgj78dHcDd9XXFmX5oQWojtppump,14057.30,29197.22,0.48,15894.80,1,Unknown
CFiba1j6fboFpFsP4tL7TaCQpZh1p92g1BbHsC5fpump,6634.60,29116.64,0.23,3593.10,1,Unknown
DfJhL9Sgk3LVNmNWfvdyGwwJhifAwdt5DZpUCSVsev25,225962.24,36.89,6124.97,664500000.00,1,Unknown
Gu2cUUmKBzELr7UhYcauGwQpw5rXshzQ8YpqiJoNpump,7540.59,29103.99,0.26,4465.14,1,Unknown
8W7P8mY7cX2ddJRXvfnKQ5iJUksB2n6AXoLmi7VLpump,7450.79,29167.20,0.26,4488.68,1,Unknown
ADuPhePqA6PBeCTSk1y6bY5uZ5drK48kcYtLVhdEpump,28652.35,29097.67,0.98,49517.69,1,Unknown
HJtr3vxtkTAJNpae1XhKsgyPcJhnDsko6R4bR8k1pump,7189.03,29067.65,0.25,3981.35,1,Unknown
5xnwU634k5c2HvuH3KmRqQf3RWXaEsHhZYQuuoEepump,7045.20,29092.93,0.24,4040.16,1,Unknown
DRLBCBjgwNhHN3yUZgNMH1VC14CuBVhocLjKAEhvpump,10157.99,29070.81,0.35,8413.99,1,Unknown
7u184HznTThKiRrRNSYz3sHaydDwmB6N2xKGzruapump,6864.49,29039.21,0.24,3866.45,1,Unknown
BjAyrn6cdrAbMjUvCGNffbjo57rngBttZgbt9LXDgih3,6991.98,28977.59,0.24,3979.45,1,Unknown
F4krMrET9tsHiVxLFVMwL7A1KSwoF7nuoPnRfD6jpump,7194.41,28949.14,0.25,4173.88,1,Unknown
DZXUWQjRtLS922k1pKF11Rf2azgQdxsazVe4QbVeFxvJ,34.47,366.38,0.09,28.35,1,Unknown
8CGm5rFAij6tLDpPYrkF2c7f3cSNZ2QhkoN2fxTxpump,8876.94,28990.23,0.31,6379.38,1,Unknown
6Rk3fjJaL9X6gDZS2mEKdh9gyzvq4JwrH4uSKrqiCCzS,7042.85,29020.25,0.24,3986.80,1,Unknown
FteyE8nW59bKdzyKSMkoKaorHrqrQuDP4oNduW5Mpump,6934.27,29018.67,0.24,3859.41,1,Unknown
AsajYstbzGHYdTJpayBRUs9dCsc6s2DRNrf9Spxhpump,14521.74,28971.27,0.50,17043.63,1,Unknown
FV8MYCQTVUNpBfeDHS2J6jniPBrQqi2y5QsPgxTjpump,8441.04,28976.01,0.29,5788.07,1,Unknown
C5RcaSJskGnTVmEGSWx4BuRCzSnCWp6xCfioewhXpump,8634.75,28958.62,0.30,5912.04,1,Unknown
DeTFM3aUcGGWDjpjwVejKzLutNxe99EoL28p1Pb5pump,11596.47,28920.70,0.40,11088.54,1,Unknown
GtMDfyQRKTQPXCSCjw7NyHYFP6bchDyHB7F8Srjbpump,10312.98,28912.80,0.36,8644.41,1,Unknown
EUtMQir8S42ZNzDR8koxzKHSpbN9fhGXg9DVmNrMpump,10694.81,28791.13,0.37,9185.82,1,Unknown
