주소,심볼,24시간 거래량($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수,생성일
6kZwn9u2Mbsb3XwMQ2L5zhPE4V5q6qXUYr2UQQyBpump,SpeedyBuck,0.00,0.00,0.00,0.00,5,Unknown
7FHARWR6Rvxrg6eiV5w1eSGJqnPe7YVYsu5diAXSpump,Bananacoin,0.00,0.00,0.00,0.00,2,Unknown
BxQajqKVHRAjQ2uiPAUVndmZ3QNtkJDcNrKLxDTZSsRU,RIS ,0.00,0.00,0.00,0.00,2,Unknown
BsyDk9jGRuUzgsuqHVbXd7qiCYM5mzv3FGEm9iwxpump,HYLICS,0.00,0.00,0.00,0.00,1,Unknown
46pL42oxfdtrvcedZotArh811jkTrjCNDQMNyKeipump,AAI,0.00,0.00,0.00,0.00,1,Unknown
8raqSLCuKZxKWmr5SFEDCCjNuvtmq9nQrHK9bBiopump,MickeyAI ,0.00,0.00,0.00,0.00,1,Unknown
HV96d5onzBbJUJJC8WeUyeS1AV6mxt3wYBjepLoCpump,SmartifyAI,0.00,0.00,0.00,0.00,1,Unknown
kNFSBGww7cExE1tPr7b8jx6Gc9SMxoqZoDn6ePgpump,sal,0.00,0.00,0.00,0.00,1,Unknown
6G7DPoabSkpbVMh5uWdywmjvEmjnwCMAWhYCtmopump,CLEO,0.00,0.00,0.00,0.00,1,Unknown
6kKDDMxbkXZvyb76gVNGLSWRoaHYnXsq71zZiQMkpump,AG,0.00,0.00,0.00,0.00,1,Unknown
5zi79r2VLt9vjLRSgaNvhmVXcbS4dAZTJ7pXPqgJpump,LlSO,0.00,0.00,0.00,0.00,1,Unknown
518AFq54sa3KeX6FZTyH3Je2S27ZfXWCTDWW1xpppump,ERYTHIA,0.00,0.00,0.00,0.00,1,Unknown
82TRz4HLVyP52SZw7m5aTPDnA3qV2qffcLzq86Ahpump,Wooly,0.00,0.00,0.00,0.00,1,Unknown
Dp44Ds3YwQAy2vo2Htipm2Yh5jFChRirCMivDubPgeud,Airi,0.00,0.00,0.00,0.00,1,Unknown
HaK57tEYZZs7ud3uCwkBUe2QKf3YW2Skp6fZ5Ea7pump,Vectorbot,0.00,0.00,0.00,0.00,1,Unknown
81NQLXQ9aVu8nBsEviRXJtNxCrxVeZW7us6nvLxSpump,CIPH,0.00,0.00,0.00,0.00,1,Unknown
2gbD1jViQyiBhFxxDcUhcMJ5Vv3qUgbrovURNMr7pump,YNS,0.00,0.00,0.00,0.00,1,Unknown
