주소,현재 유동성($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,32899900.00,5.23,6287868.40,2907430000.00,248
74SBV4zDXxTRgv1pEMoECskKBkZHc2yGPnc7GYVepump,10660200.00,31151.81,342.20,266415000.00,104
9DHe3pycTuymFk4H4bbPoAJ4hQrr2kaLDF6J6aAKpump,5404920.00,32763.52,164.97,88715400.00,86
Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,6937090.00,31337.73,221.37,219140000.00,81
GorvUUSkJGSzJUebM5W6berUkZ5pG8nmnn7tmk74pump,1546340.00,29759.74,51.96,20421700.00,75
98mb39tPFKQJ4Bif8iVg9mYb9wsfPZgpgN1sxoVTpump,4810360.00,31143.91,154.46,71977000.00,72
61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,10021000.00,33972.30,294.98,308372000.00,63
8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,8295380.00,27873.33,297.61,283777000.00,60
oraim8c9d1nkfuQk9EzGYEUGxqL3MHQYndRw1huVo5h,3859900.00,37660.27,102.49,88647400.00,59
DWDnYfhVMnNBbWz4uEVvLVZLdYQoSuBosSU2vmHSpump,1097960.00,29748.68,36.91,13173700.00,46
BUfMXdTHqKGVztQjYRB2b4v7EKAv4cheMg8Uu16Npump,1645720.00,29268.33,56.23,19261600.00,44
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,30713100.00,0.00,0.00,2557510000.00,44
DqrcZRHM9JuCUhnLyaWF7rLLjxE5h3MbiG7iferUpump,981827.00,32801.45,29.93,14310900.00,43
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,19408500.00,24193.15,802.23,763668000.00,43
5QS7RcHfGUa2ZtrovPvEJMB9coqroiT7H48dPSwFpump,1815210.00,29672.83,61.17,61147600.00,42
3N2ETvNpPNAxhcaXgkhKoY1yDnQfs41Wnxsx5qNJpump,3407310.00,30369.66,112.19,59184400.00,41
GekTNfm84QfyP2GdAHZ5AgACBRd69aNmgA5FDhZupump,3486540.00,36993.47,94.25,91032400.00,39
CANKciNUFnuJfWPc4jxzrPyJaR7gBpuNSyRdd6ULpump,401674.00,29988.85,13.39,2890390.00,38
9psiRdn9cXYVps4F1kFuoNjd2EtmqNJXrCPmRppJpump,1632460.00,37147.45,43.95,20761700.00,37
whispF7G9DHaojYHe2cdhRX5EMJzGBdqq7R57kL6inL,657586.00,29543.26,22.26,7336410.00,26
73UdJevxaNKXARgkvPHQGKuv8HCZARszuKW2LTL3pump,946194.00,34358.01,27.54,15032600.00,25
AuLFCTA8V8katsgpkFsezQtkHodJby5M4KB2VryTpump,2417300.00,34312.03,70.45,48798400.00,24
6d5zHW5B8RkGKd51Lpb9RqFQSqDudr9GJgZ1SgQZpump,2474870.00,27848.57,88.87,45113600.00,24
7XJiwLDrjzxDYdZipnJXzpr1iDTmK55XixSFAa7JgNEL,3502100.00,0.00,0.00,116848000.00,24
6uVJY332tiYwo58g3B8p9FJRGmGZ2fUuXR8cpiaDpump,1732660.00,29713.92,58.31,40005400.00,23
Bz4MhmVRQENiCou7ZpJ575wpjNFjBjVBSiVhuNg1pump,2209370.00,27610.97,80.02,30622000.00,22
Cn5Ne1vmR9ctMGY9z5NC71A3NYFvopjXNyxYtfVYpump,686527.00,29627.01,23.17,7801990.00,18
3vPnCvrYU6xrWQj4xQqLtLeBzbiiYH4dLSoJQq2Lpump,236295.00,30347.54,7.79,1741200.00,16
5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,105361.00,9293.00,11.34,516624.00,10
