주소,24시간 거래량($),초기 유동성($),성장률(x),시가총액($),유명 지갑 수,생성일
89nnWMkWeF9LSJvAWcN2JFQfeWdDk6diKEckeToEU1hE,59059389.30,1660333.02,35.57,13554755.50,36,2025-01-15
27vqye5ESCqahZKcDsTKyK2fpm39oBmtNeqxhpiTpump,29688211.49,368074.22,80.66,2881833.37,28,2025-01-15
Cm6gzmxxAPwWvwjwdpZqRCEEZKgGpzUtPV2fV3c45KU3,10153999.16,84537.12,120.11,371667.19,26,2025-01-15
DPCFjSCWWw38RAyR6FXruWDq4cY4TM8ckKBqR1Qjpump,3538940.61,12540.57,282.20,10275.07,22,2025-01-14
Gh8yeA9vH5Fun7J6esFH3mV65cQTBpxk9Z5XpzU7pump,8632115.89,83368.77,103.54,359853.63,21,2025-01-14
Do7eGePVfvNvswNEicpGha43qgSUNpvQh7iFxSqDpump,4270115.06,22463.24,190.09,30980.20,20,2025-01-14
Am1eSzfcXZwKYirLyEyBB7EyaQ2udbK7KApkowbtpump,5653386.54,35454.57,159.45,72448.42,19,2025-01-14
JBD8mccmQeZVeVEQW16nymthrA6BuYhUiY2Gh65npump,6179079.79,85958.33,71.88,411034.76,16,2025-01-15
wyuzWFsBAnUCtkDmWrsWaBbF6RA3TvQnjpnmpKppump,4602997.24,28176.73,163.36,45227.81,15,2025-01-15
AyA8yyBWeB87aPwTKWP1F9UDKTEBDLfGAofEiwqJpump,17195423.11,225157.80,76.37,991347.20,15,2025-01-15
CgR2HrNTqHoUqDP8BKpX8WKzzN3FoArgyP8GcqjUpump,8393153.50,18274.79,459.27,18955.05,14,2025-01-15
GaEwrkG5DGJ5xMKFxWfpCT9HLWUSW17fKEVrHoc3pump,1354697.97,9029.82,150.02,5563.60,14,2025-01-14
BPPhDPzWqFnfEmdHPNNcRWwh4cqV55ALaYhauBaewGny,4112250.76,14577.58,282.09,12953.92,13,2025-01-15
Bti6cSCDEXofoZQBU3ewWuqzuRFiJzt9ZSamzij1pump,3203849.82,99146.61,32.31,615902.97,12,2025-01-15
36RdKLxTawWTw1M5KJJpHc77ShLrcFjQyfBby4nopump,7409693.44,171289.40,43.26,1774306.90,12,2025-01-15
AebKUPrNcCmjrAmd4M5PjXvmJkAyHBH8JjLCb2G1pump,1137402.34,11937.08,95.28,10163.99,12,2025-01-14
4SA8Cd1ZkmqgNRtFz5NYyur6ZcuptKH7jKnMAwaQpump,5834980.72,68840.42,84.76,252619.67,11,2025-01-15
CgMfCgDUi3VYDyTYMy41oLC2fEviVZJ3kHSM7wA6im3d,8757371.73,88429.10,99.03,395510.08,11,2025-01-15
3HfLqhtF5hR5dyBXh6BMtRaTm9qzStvEGuMa8Gx6pump,13654212.35,167510.84,81.51,1220898.78,11,2025-01-14
HxFdfXoxGEhXXaF2czhH77G7ijpfELwSceNzZ6gpump,2584112.83,11302.80,228.63,8596.03,10,2025-01-15
4whBUPUVdCMK17YSmXNGEJfJFP33VHjDB7KdQveXpump,1228381.06,9245.68,132.86,6088.59,10,2025-01-15
3ExU47MFxsGfmWMJGZBgW2FhemmRGbEGT45GjuWWpump,1658520.05,10509.43,157.81,7750.40,10,2025-01-15
5Q6Y1zarFvpHMAQMfHHxo9TKy7iZCsLcn5xBdfJ3pump,779161.08,17211.43,45.27,21928.85,10,2025-01-15
BHSNKDDkb7m7WoxdnCHVZHV9VeKAbJvUVFiPuwLHpump,4068148.87,113332.37,35.90,801165.58,9,2025-01-15
ATEDLXZCHjbZm1ofvoMEyWTnJNCFmsbHgnLGty6hpump,3660348.46,19480.53,187.90,25348.06,9,2025-01-15
SCAPEnzrtkYUQbeNR28T9LhuZjLkaECLoKZ2FnZA1aK,4411264.63,96888.53,45.53,645590.27,9,2025-01-15
Aekx8W7X2Uu7bjM2Q5oLJfAxdokbtZAnWHY4o4CApump,2331742.47,11301.99,206.31,8375.43,9,2025-01-15
67LatZcrseM8dEY9oab41AXY54hPanPcJcXGpZMPpump,3477200.70,21377.71,162.66,28639.36,9,2025-01-15
2F6LAxDWBTmgNZMGXcisEBAyAAiAXdQa4sYkF6Xbpump,202148.19,7055.02,28.65,3857.98,9,2025-01-14
9uQ3t55bEHDy746wu6L5Sp541WgFHFhddBfYzBD1pump,1094045.21,9071.25,120.61,6013.66,8,2025-01-15
BQ682RMddmNq6CajpSy5UgqQ9M6QV9R958UzrDRnpump,2162286.98,9827.05,220.03,6548.61,8,2025-01-15
eJqHomKmy4iVcPAPEvtcXGxAg6cFtzbZwyRbwUjpump,4746567.60,22099.14,214.79,28498.35,8,2025-01-15
5np2UVcp1NoXcXgckemvPUc5i6FKsEYnu3XTWJWpump,1599768.52,23554.49,67.92,37701.88,8,2025-01-15
Eu2Yy6EXirRnrE74rUFErrgtFRbPbNzpmrd7AgLcpump,6066890.34,50777.50,119.48,142404.09,8,2025-01-15
HdPdburnc1VUjxTKZCmbBcr5B5H5YYAGfPTKDNnhpump,2353657.68,17779.11,132.38,20908.66,8,2025-01-15
CuBuW6LMLyC7wQFNk3hszzq22rGxAMJkdCqgXJaipump,2279296.70,33246.75,68.56,74128.39,8,2025-01-14
4x84CoGgDhQdyjoA6KFHWTJWtTB24R6ZrPstFzaMpump,3238137.94,20940.39,154.64,26090.11,8,2025-01-14
DDDGMPkZbgEUH6ypCVPh8rM2ht3SVY5HpQTE8rWhpump,1273983.92,20783.01,61.30,29848.75,8,2025-01-14
NjK1ubqD4dfPfq43TfcKMdzHtyEiAFKGxqA2o7jpump,2637098.90,12604.47,209.22,10485.92,8,2025-01-14
3tMCKaNN2QdfJqwUXQ91Y47tnEYExw6MNBqCntv8pump,1420906.54,11065.59,128.41,8466.62,7,2025-01-15
6s8igZ35BQBbWjnCYzGqGKPhvnniWBysy2TjiueRX352,1126899.85,12906.39,87.31,12002.65,7,2025-01-15
FXXVxHtFqVcAk1ACVzqHeQSURVZCPyEkWhqsKUVeVkWz,1481842.36,9950.09,148.93,6951.95,7,2025-01-15
PhUGNN8dpP2Qh1JuwEj9a6zC6HJCiUnkyFamigHpump,1647520.23,8911.82,184.87,5544.05,7,2025-01-15
3QW2BMZnsACEjjtxbbv7f5bdSy2ByYCv2rp5dPVWpump,3668384.70,15411.86,238.02,15732.12,7,2025-01-15
wT3XbzhfVdX6KBkcsnU3Dezt71oL8Zntax2pGT8pump,4183708.69,58946.52,70.97,197979.56,7,2025-01-15
BVa5ypqX7MUQBPFcBWZ5FehKxjmWjs65E9kHzYx8pump,413659.32,7985.79,51.80,4871.57,7,2025-01-15
9bYgmypcFQZQigwrhgu4sYKk4U4VNPBbCCHoBFYgpump,304203.90,6812.92,44.65,3596.09,7,2025-01-14
qXoyQrKEtfXPZMHekcHWMvCKMsgZNFF43GokAmQpump,778060.42,9745.56,79.84,6972.67,7,2025-01-14
DJu8nV4Xdv7DxstnUG2NyGd6aKgMHCK55N9ztj6w2DUr,1517159.61,16644.45,91.15,20243.35,6,2025-01-15
FxQfVtuKcMLnq6kDrcvPQHkpTGs22vcUQ82tsXV1pump,606163.93,9229.79,65.67,6328.10,6,2025-01-15
Djeef2JA4JThU1irMQvEhdabTD8JDcUwoDiUzey4pump,3561010.72,30170.16,118.03,55448.01,6,2025-01-15
rJFoPadDnFGiF6Q8vJtGtPrDWVib6BhqukUYnz3TuD9,549929.51,13687.97,40.18,12562.97,6,2025-01-15
6J8AuWLF4213S1suTx9sTaHEhGqsoorT5dRZaY3Tpump,455519.78,8179.96,55.69,5045.13,6,2025-01-15
eiu9KULXfswbCoZSQQLpTPnWRkvp1Fq3i8gRnsvpFPW,4609487.52,338126.09,13.63,7224072.85,6,2025-01-15
9NekTv1wQZHbtC43FxAay8bpBC81VJRLvmUqp6Sopump,3949810.34,17409.27,226.88,18109.83,6,2025-01-15
7fV3ZJeNiRSbvKKzV114PPMvZph1xYU9tkXunM1bpump,1301880.23,14040.71,92.72,13757.18,6,2025-01-15
7MC4AEcirmnN6qDD1fDddBs7Mb52vaztCaHUcYuipump,1482720.30,20826.97,71.19,29917.56,6,2025-01-15
6HN28krL2C8TxCp2oX2panUq3EEHbjRz6JypPGrzpump,1008633.45,17722.82,56.91,22476.84,6,2025-01-15
AnmTJQKfFttsMTkjv1aoCz1C34wdB6BnKBYiZQp1pump,297967.31,7759.21,38.40,4610.84,6,2025-01-14
6XmFBRJAuHkzDn6UxTSAjpp5GEXJNESaxHY16mVK5uHH,581722.46,32860.62,17.70,81192.23,6,2025-01-14
BhuGeaktsyScAAUCURjLoJ3xBG6ZBe1VdEY88JWRpump,716097.25,21655.18,33.07,35174.60,6,2025-01-14
EfdpeXP26LYnKyf5LKwNmoXTbb4raVCdUDZjamY8pump,1141339.34,8963.35,127.33,5746.43,6,2025-01-14
CgHmh1nkJnbP6Q1ZuDVbX2LRDtyNYeP4Q5Y6g1pNpump,3515360.43,8306.51,423.21,4561.22,6,2025-01-14
FT5eEb8T2dn1bMPQtbFJBkgwd5U7XKwG8yvpSkB8pump,208876.19,10818.35,19.31,9003.37,6,2025-01-14
HDWfWsuRxtc7gWgwQQ4ykSK6hNrdRQhFXqJRaDwqpump,421465.81,11387.04,37.01,10611.68,5,2025-01-15
B3cif6B4FxUWK75VbUzG7ymxAxkozXEC4XLA6fFVpump,855762.94,9109.31,93.94,6218.09,5,2025-01-15
2tfracXjQP4BX5KBhasPWn72xkm4EdBJykcs4omkpump,263337.55,12099.18,21.76,11396.24,5,2025-01-15
GYVm74sfXFdYmTETZd5CdAR7a6DJ2aw9JR7EoUAGpump,562415.07,29287.64,19.20,64684.49,5,2025-01-15
PELGx59WwJXY83tbr85XGyVoHU7MHTJB8wP2PRiLmM9,2031585.75,76116.66,26.69,371945.37,5,2025-01-15
CkDTrDgCXhhgoP2VDYk7Jdbiukf6XtzyasjHdHj7pump,647862.35,9445.68,68.59,6558.46,5,2025-01-15
7YHKdt95JJbMRfNnLjCu5cgeZmsLXnvf1GPCF7prpump,172098.11,6792.32,25.34,3624.54,5,2025-01-15
DfFJ4UJxr5gjBpGG7RdVRjrCxVQZUZ822d2cZaNApump,1221444.93,15586.44,78.37,18038.76,5,2025-01-15
EYjuzTC6yiZ2BgQs4juRZu6WFnt6iFohywvSYgQRpump,309672.83,8066.00,38.39,4974.71,5,2025-01-15
CaMAs6wvazB8vD1NxjsCK9SDx4E5VSfzyeeSUDMCpump,970334.96,11828.33,82.03,10141.82,5,2025-01-15
EcH9Rriwjp37fxyU6rKUGR9Rwz5TWJrRoza4otGbpump,891338.76,13310.54,66.96,13288.77,5,2025-01-15
a5WygGuhUJ49UYoUuf6bxeE33zKuXJHGUCjggpjpump,1023022.68,11531.62,88.71,9515.31,5,2025-01-15
73FiM337wV3aXzzDw1W72HoXL9bF3GDymxrmKLmcynG8,1118699.22,13461.07,83.11,12422.04,5,2025-01-15
DnTyueMDAckJ4GEJT2WmqdHHZzSeqGygipuSgam2pump,177210.04,7176.88,24.69,3995.36,5,2025-01-15
Drkapp5AgfB1hZFk3hp4JhWBF3pZ58ho1My8hu1Npump,2309063.27,12909.74,178.86,10859.33,5,2025-01-15
2G5g1DFr4s9Nspdh48J4yJDAow7gNRfWsJPAWCjYpump,2728007.08,22401.28,121.78,31984.68,5,2025-01-15
9dN8aPLCpcxRTSgoHd3KDBSR2iPwtQzPH6YDirsWpump,886235.19,20624.14,42.97,30855.74,5,2025-01-15
32BnjDWLD1zBfDTDBmYxkSFUieKntiHRzEJD42VRpump,2486670.88,31617.20,78.65,66061.87,5,2025-01-15
Be6wPumntQAsXxWGjEfENMUTRHiP7U1hrsqs8bimxeU7,541745.03,7999.25,67.72,4774.48,5,2025-01-15
64JqT9NDVbKfsHzRmuyDeWsusUZFnPiudhobWhP8UGMp,930657.01,105986.88,8.78,853927.09,5,2025-01-15
7sAEQ5ckw6RqMG56PV1Bydc3nh4iAKU6iM1UUurA2mzF,399687.12,14355.35,27.84,15474.62,5,2025-01-14
CMfkk9uTcR1tsBkNuPeBjSr5373rUPVXdtMgV4RFpump,845625.19,8733.73,96.82,5576.83,5,2025-01-14
9SMZBoJXc2ZbKQvEbdAMZH7oo7LD5WfPSAyCm9AMpump,225685.31,7238.59,31.18,4108.50,5,2025-01-14
2EKT7eLRUe4sRyQ1M4Hi7WxvEEg4Ruch1FM6aCW3pump,1095617.85,28772.46,38.08,58668.08,4,2025-01-15
B26q26qYEdF8p2syp1rXUW2Rjr1tC6qfBBjbqxqBpump,307369.00,12083.78,25.44,11491.56,4,2025-01-15
CesFrkRyz4otSugjyEnQmoUdgejBvoj4F4XpfKjbpump,255385.32,9162.72,27.87,6634.71,4,2025-01-15
bferTU2wwgBUFMciHY1BJQ4H71L3KpuCY4K41SHVrQ2,623932.01,9424.66,66.20,6761.08,4,2025-01-15
CJEk9kXcRVmEvAnP22DDPYKUNomGMrNm4xR97VWapump,396368.75,19203.79,20.64,27829.68,4,2025-01-15
9c8CpkvemcFUdv2f1Dyvz82Qn6vAGV2QWBgM7u1BAEcb,2861647.61,44002.30,65.03,118731.96,4,2025-01-15
HS1pxkLadqFBSgfmQDREnGKHYQukXY8VYT4zvVFapump,452550.02,7677.87,58.94,4557.20,4,2025-01-15
BDsxLoxUDFU4wfdXLDrbcBBYedC1fiFzTvLEhpTspump,1839448.53,12308.26,149.45,10822.39,4,2025-01-15
6XaJyiGrVgdnAE5xhZ6q3hVVMeMfrtP17GoxGytrpump,409772.26,9282.49,44.14,6320.74,4,2025-01-15
2KpMQeukcb7Pv2AcKxsDja2ZSP4dHXsxVJk7JBEZpump,1769089.00,19011.42,93.05,24139.01,4,2025-01-15
AJSNgXUGwB7XitzrExAuRXKeY7Nc1K2JNV97GkLhpump,988264.50,10014.96,98.68,7324.57,4,2025-01-15
Aq6kPBLPhAW3h1v2zP6LwpQTTZYJoGARQUhKYz2Ypump,196785.16,6782.89,29.01,3613.25,4,2025-01-15
1hs2A588k24RgDZGPKL1ncwPSnWTTRH71ZKhTsv6Pvf,924930.71,9128.50,101.32,5952.98,4,2025-01-15
3EaP3KUgSR6uhGDCWJC2oecF6rUBD8JEN8qZ2t1WneaA,203885.21,9463.04,21.55,7036.58,4,2025-01-15
5zGuDxBxeCNLxdWVTQ9d5H5EeoM6m2ufBGJrgqsgpump,254255.50,6789.82,37.45,3610.76,4,2025-01-15
3oCcJWcSpvdfhBSs9D2E7bJt2NRX1g5PQafs8wkhpump,470530.26,8295.41,56.72,5138.66,4,2025-01-14
5CHv2q6ZBgnioGMnPHLkiSyfc3MjUmVfq44LCNQApump,87017.26,6719.85,12.95,3587.71,4,2025-01-14
